year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Ferrari,California,Base,Convertible,automatic,zff65tja5c0187066,ca,42.0,10902.0,gray,brown,chicago motor car corporation,149000.0,154000.0,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover,HSE,SUV,automatic,salme1d45ca360653,ca,36.0,56169.0,black,black,us bank,41900.0,39500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d47ca720225,ca,44.0,19547.0,gray,black,jpmorgan chase bank n.a.,44300.0,46500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d49ca718718,ca,45.0,30055.0,white,tan,land rover north america llc,42000.0,34500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a25cla01045,ca,39.0,49086.0,black,beige,elad motors,39000.0,38750.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Porsche,Panamera,S Hybrid,Sedan,automatic,wp0ad2a76cl045477,ca,41.0,49288.0,gray,black,elad motors,52800.0,49750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a79cl012594,ca,38.0,29549.0,red,tan,downtown motors inc,50300.0,51500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a20cla03236,ca,46.0,42303.0,gray,beige,rusnak pasadena jaguar sterling pasadena,40300.0,41500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,automatic,wp0ab2a95cs121218,ca,44.0,16480.0,black,gray,mckenna audi/mckenna bmw,70000.0,72500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Porsche,Panamera,4,Sedan,automatic,wp0aa2a71cl010872,ca,41.0,38926.0,brown,brown,prestige auto,49700.0,50500.0,Thu Jan 15 2015 12:30:00 GMT-0800 (PST)
2012,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a21cla00605,ca,43.0,27043.0,gray,black,porsche of hawaii,41400.0,44500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d41ba282171,ca,43.0,42101.0,white,tan,jpmorgan chase bank n.a.,36000.0,38000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e49ba336320,ca,39.0,53634.0,black,black,bank of the west,43200.0,46000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d46ba291475,ca,28.0,28452.0,brown,brown,jpmorgan chase bank n.a.,40300.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d46ba287317,ca,33.0,41169.0,black,gray,jpmorgan chase bank n.a.,36200.0,36000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d48ba295835,ca,5.0,3794.0,black,black,land rover north america llc,43900.0,46500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salme1d49ba351839,ca,25.0,31927.0,black,black,midway hfc fleet/ars,40400.0,34600.0,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e45ba331132,ca,47.0,56574.0,gray,black,commerce hyundai,43300.0,42500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d48ba280644,ca,48.0,40101.0,white,tan,jpmorgan chase bank n.a.,36200.0,39500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d4xba706513,ca,42.0,21409.0,gray,black,jpmorgan chase bank n.a.,39000.0,39000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d4xba264977,ca,37.0,73832.0,white,black,fiserv/usb dealer services northstar exchange,31600.0,31000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d47ba331103,ca,39.0,47019.0,black,black,jpmorgan chase bank n.a.,40100.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d48ba282535,ca,41.0,35959.0,black,black,jpmorgan chase bank n.a.,38600.0,38500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh2e47ba269451,ca,39.0,59971.0,white,beige,jpmorgan chase bank n.a.,37900.0,37500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d44ba273931,ca,37.0,44152.0,blue,beige,high bid trading co inc,36700.0,35250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d42ba346401,ca,41.0,58109.0,black,gray,jpmorgan chase bank n.a.,37000.0,34500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d47ba258165,ca,38.0,53884.0,black,black,jpmorgan chase bank n.a.,33700.0,32000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2011,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a72bl011625,ca,47.0,54395.0,black,black,mckenna audi/mckenna bmw,44100.0,44000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2010,Bentley,Continental GT Speed,Base,Coupe,automatic,scbcp7za3ac065778,ca,3.0,15640.0,black,tan,porsche fin svcs dba bentley financial services,93000.0,96000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d42aa317589,ca,35.0,35561.0,white,tan,land rover north america llc,35600.0,28500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2010,Land Rover,LR2,HSE,SUV,automatic,salft2bn5ah204665,ca,42.0,58341.0,black,black,century dealer services corp,15350.0,17500.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2010,Land Rover,LR2,HSE,SUV,automatic,salfr2bn6ah208058,ca,29.0,47273.0,white,beige,jaguar land rover thousand oaks,16400.0,15750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2008,Maserati,GranTurismo,Base,Coupe,automatic,zamgj45a180040499,ca,31.0,41225.0,charcoal,black,auto city sales/leasing,43500.0,40500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25458a137976,ca,28.0,68629.0,white,beige,jpmorgan chase bank n.a.,19900.0,20000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2008,Land Rover,LR2,HSE,SUV,automatic,salft24n78h059409,ca,41.0,105362.0,blue,beige,lexus of valencia,9175.0,7500.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2008,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf13428a295041,ca,43.0,82038.0,white,white,phillips auto brokerage,22600.0,26000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25478a182059,ca,21.0,141574.0,gray,tan,bmw alphera/alphera financial services,14050.0,13800.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w96c036212,ca,39.0,15909.0,blue,tan,fratelli investment group,52600.0,57250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Porsche,Cayman S,Base,Coupe,manual,wp0ab29856u780789,ca,47.0,65696.0,white,tan,sports trend auto sales,22200.0,24500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w75c023841,ca,42.0,91330.0,black,black,ferrari of orange county,40200.0,44250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Porsche,Cayenne,S,SUV,automatic,wp1ab29p15la60383,ca,36.0,75458.0,gold,brown,coast sports cars inc,11750.0,14600.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2005,Porsche,Cayenne,S,SUV,automatic,wp1ab29p65la62890,ca,26.0,69138.0,gray,gray,redline remarketing,12150.0,12000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Land Rover,Range Rover,4.6 HSE,SUV,automatic,salpm16431a447154,ca,34.0,121719.0,green,tan,hornburg jaguar,2025.0,2600.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2001,Land Rover,Discovery Series II,SD,SUV,automatic,saltl15451a711185,ca,27.0,129096.0,silver,tan,trade in solutions,1725.0,1300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,HSE,SUV,automatic,salgs2wf4ea149960,ca,2.0,10179.0,black,black,midway hfc fleet,111000.0,83500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Land Rover,LR4,XXV,SUV,automatic,salak2v69ea704716,ca,48.0,3861.0,brown,tan,land rover north america llc,67000.0,62000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,LR4,HSE,SUV,automatic,salag2v63ea693164,ca,48.0,7270.0,red,tan,land rover north america llc,61000.0,60000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Supercharged,SUV,automatic,salgs2efxea126796,ca,4.0,5975.0,—,tan,land rover north america llc,102000.0,99000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Autobiography LWB,SUV,automatic,salgv3tf1ea155989,ca,46.0,5369.0,white,orange,land rover north america llc,136000.0,135000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover Sport,Autobiography,SUV,automatic,salwv2ef3ea300128,ca,48.0,5556.0,white,red,land rover north america llc,85000.0,98000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Supercharged,SUV,automatic,salgs2ef9ea126773,ca,44.0,4460.0,brown,brown,land rover north america llc,103000.0,108000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,LR4,XXV,SUV,automatic,salak2v65ea704681,ca,46.0,5738.0,red,tan,land rover north america llc,66000.0,63500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Porsche,Cayman,Base,Coupe,automatic,wp0aa2a81ek172194,ca,5.0,174.0,blue,black,sports trend auto sales,51200.0,57500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a2xela90873,ca,5.0,334.0,white,black,porsche financial services,58900.0,59000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a29ela08440,ca,44.0,546.0,white,black,porsche financial services,58800.0,63500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Bentley,Continental GTC,Base,Convertible,automatic,scbgu3za5dc085358,ca,4.0,16603.0,blue,beige,porsche fin svcs dba bentley financial services,149000.0,139000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Bentley,Continental GT,Base,Coupe,automatic,scbfr7za8cc074227,ca,46.0,21689.0,black,black,phillips auto brokerage,115000.0,118000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvv2bg4ch669268,ca,33.0,33441.0,silver,black,toyota chula vista dba scion,36100.0,36000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvv2bg0ch646764,ca,37.0,36140.0,—,beige,jaguar land rover thousand oaks,35900.0,34250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d40ca729280,ca,42.0,48377.0,black,black,south coast toyota,39800.0,40000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d47ca368427,ca,3.0,34899.0,brown,brown,hornburg jaguar,48800.0,47000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvp2bg4ch631730,ca,42.0,34177.0,black,black,high bid trading co inc,35100.0,35250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Porsche,Panamera,4,Sedan,automatic,wp0aa2a74cl013491,ca,4.0,44160.0,white,beige,mckenna audi/mckenna bmw,47900.0,50250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d4xba287157,ca,39.0,28418.0,black,tan,jpmorgan chase bank n.a.,38000.0,36500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salag2d49ba582131,ca,37.0,73377.0,black,black,audi of chandler,27900.0,27750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d4xba260522,ca,37.0,76101.0,black,black,jaguar land rover north scottsdale,29300.0,29000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salag2d42ba586375,ca,46.0,48098.0,red,beige,penegon mission viejo inc,32300.0,31000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2010,Ferrari,California,Base,Convertible,automatic,zff65lja9a0170669,ca,48.0,7529.0,black,gray,eurocar,133000.0,124000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Land Rover,LR2,HSE,SUV,automatic,salfr24n09h123077,ca,41.0,14908.0,beige,black,high bid trading co inc,14150.0,17500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2009,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh23419a190158,ca,29.0,54756.0,gray,black,the car exchange,26100.0,27000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2008,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25468a161297,ca,37.0,114932.0,black,black,jaguar land rover north scottsdale,16100.0,17500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2008,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25498a144025,ca,4.0,59092.0,silver,beige,bmw north scottsdale,20700.0,21750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2008,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk25458a186899,ca,37.0,37697.0,gray,black,orange coast chrysler jeep dodge,22500.0,24250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2007,Bentley,Continental GT,Base,Coupe,automatic,scbcr73w07c042630,ca,38.0,75333.0,gray,brown,j star fiat & maserati of anaheim hills,56700.0,52750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w37c049682,ca,37.0,38725.0,blue,brown,the car exchange,69000.0,67000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2007,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w578042715,ca,35.0,96822.0,black,tan,high bid trading co inc,50200.0,54000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Porsche,911,Turbo,Convertible,automatic,wp0cd29978s708406,ca,45.0,35790.0,gray,brown,porsche of downtown la,63000.0,64500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w56c039169,ca,41.0,41445.0,white,tan,eurocar,51000.0,58500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2006,Porsche,Cayenne,S,SUV,automatic,wp1ab29p26la63374,ca,38.0,91437.0,white,brown,century dealer services corp,13050.0,15000.0,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2006,Porsche,Cayman S,Base,Coupe,automatic,wp0ab29886u784304,ca,43.0,58225.0,black,black,century dealer services corp,23100.0,24000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w45c025126,ca,42.0,66950.0,silver,brown,phillips auto brokerage,45500.0,52500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2004,Porsche,Cayenne,Turbo,SUV,automatic,wp1ac29p64la90927,ca,34.0,151656.0,silver,black,la autobrokers sales/leasing,7250.0,9400.0,Wed Dec 17 2014 00:00:00 GMT-0800 (PST)
2003,Porsche,Boxster,S,Convertible,manual,wp0cb29843u662494,ca,38.0,92614.0,silver,blue,volkswagen of downtown la,9475.0,8500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2002,Land Rover,Range Rover,4.6 HSE,SUV,automatic,salpm16482a465392,ca,2.0,115630.0,white,beige,credit acceptance corp/vrs/southfield,2075.0,400.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2002,Porsche,Boxster,S,Convertible,automatic,wp0cb298x2u661896,ca,28.0,69952.0,gray,gray,onemain rem/manheim san francisco bay,8675.0,6000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2000,Porsche,Boxster,S,Convertible,manual,wp0cb2983yu664499,ca,36.0,58470.0,black,black,high bid trading co inc,9025.0,10750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
1999,Land Rover,Range Rover,4.0 S,SUV,automatic,salpa1248xa408468,ca,21.0,72461.0,green,tan,dutton motor co,1725.0,3300.0,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,Pure Plus,SUV,automatic,salvp2bg6dh707465,ca,43.0,27573.0,white,black,beverly hills llc,35600.0,35000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Porsche,Boxster,Base,Convertible,automatic,wp0ca2a89dk112204,ca,39.0,18599.0,black,black,jake group,40500.0,42000.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d4xba715017,tn,37.0,39075.0,blue,beige,jpmorgan chase bank n.a.,36300.0,34400.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salag2d46ba572897,pa,38.0,49634.0,gray,black,alans autos,32500.0,32000.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d42ba357687,pa,47.0,46927.0,white,tan,tsj auto brokers inc,40100.0,40750.0,Fri Jan 02 2015 09:15:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d43ba294953,tn,24.0,66251.0,black,black,jpmorgan chase bank n.a.,30800.0,29600.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh2e4xba263742,pa,43.0,34647.0,blue,beige,euro motorcars inc,43800.0,41750.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salag2d4xba595003,tn,48.0,42938.0,black,black,wholesale inc # 2,33500.0,32500.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh2e48ba716000,ca,46.0,43589.0,black,tan,penegon mission viejo inc,41700.0,41250.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salak2d4xba584839,ca,42.0,62238.0,gray,black,jaguar land rover thousand oaks,30900.0,31500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d44ba345539,nj,43.0,63408.0,gray,black,hnd leasing co,35700.0,34200.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salme1d43ba345177,tn,27.0,31824.0,black,black,jpmorgan chase bank n.a.,41800.0,40600.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d49ba707616,pa,28.0,44173.0,gray,brown,manheim imports,36700.0,34250.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d45ba347574,ga,35.0,64095.0,green,white,tdaf remarketing,35000.0,29800.0,Tue Jan 20 2015 05:10:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsk2d47ba267329,ga,49.0,55882.0,gold,brown,jim ellis,34400.0,31400.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,LR4,V8,SUV,automatic,salag2d4xba586141,pa,5.0,39075.0,brown,beige,rjk auto brokers llc,33900.0,33500.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salsh2e40ba263880,ca,36.0,38020.0,white,beige,billion dodge chrysler jeep,43100.0,36500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,Land Rover,Range Rover Sport,HSE,SUV,automatic,salsf2d44ba716597,pa,31.0,54074.0,gray,black,jpmorgan chase bank n.a.,34300.0,25000.0,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e44ba352666,tx,48.0,6939.0,white,tan,mercedes benz of tyler,51400.0,54000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e43ba356238,wi,37.0,53602.0,white,black,jpmorgan chase bank n.a.,43500.0,38600.0,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2011,Porsche,Cayenne,Turbo,SUV,automatic,wp1ac2a21bla81582,tx,49.0,30386.0,black,black,rolls royce motorcars manhattan,56800.0,60000.0,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
2011,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a71bl012717,tx,46.0,19681.0,black,tan,reeves import motorcars inc,50400.0,48250.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2011,Porsche,Panamera,S,Sedan,automatic,wp0ab2a77bl060266,nv,36.0,41208.0,brown,beige,gaudin jaguar porsche of las vegas,47600.0,43000.0,Fri Jan 09 2015 11:45:00 GMT-0800 (PST)
2011,Porsche,Panamera,4,Sedan,automatic,wp0aa2a71bl013771,tx,44.0,41557.0,black,black,rolls royce motorcars manhattan,47100.0,47500.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,HSE,SUV,automatic,salme1d40aa310028,fl,43.0,49880.0,gray,black,land rover palm beach,34100.0,34000.0,Thu Jan 08 2015 01:15:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e41aa323351,tn,4.0,66115.0,white,tan,moss motor company,39100.0,39800.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,HSE,SUV,automatic,salme1d45aa314270,nc,35.0,64550.0,black,tan,hendrick motors of charlotte,33200.0,32800.0,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,HSE,SUV,automatic,salme1d42aa324142,tn,24.0,43242.0,black,beige,jpmorgan chase bank n.a.,34500.0,33000.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,HSE,SUV,automatic,salmf1d4xaa324662,oh,49.0,84177.0,gray,gray,pauley motor car co preowned vehicles llc,31800.0,30700.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2010,Land Rover,LR2,HSE,SUV,automatic,salfr2bnxah190342,tx,41.0,54962.0,gray,black,laredo dodge chrysler jeep,15550.0,14500.0,Wed Jan 07 2015 10:05:00 GMT-0800 (PST)
2010,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e46aa326195,ga,25.0,36414.0,blue,tan,persichetti motorsports inc,45600.0,44000.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
